title,country,awards
12 Years a Slave,USA,3
12 Years a Slave,UK,3
2 Guns,USA,0
42,USA,0
47 Ronin,USA,0
A Good Day to Die Hard,USA,0
About Time,UK,0
After Earth,USA,0
American Hustle,USA,0
August: Osage County,USA,0
Beautiful Creatures,USA,0
Blue Jasmine,USA,1
Captain Phillips,USA,0
Carrie,USA,0
Cloudy with a Chance of Meatballs 2,USA,0
Despicable Me 2,USA,0
Don Jon,USA,0
Elysium,USA,0
Epic,USA,0
Escape from Planet Earth,USA,0
Escape from Planet Earth,Canada,0
Escape Plan,USA,0
Evil Dead,USA,0
Frozen,USA,2
G.I. Joe: Retaliation,USA,0
Gangster Squad,USA,0
Gloria,Chile,0
Gloria,Spain,0
Gravity,USA,7
Gravity,UK,7
Grown Ups 2,USA,0
Her,USA,1
Identity Thief,USA,0
Insidious: Chapter 2,USA,0
Insidious: Chapter 2,Canada,0
Iron Man 3,USA,0
Iron Man 3,China,0
Jack the Giant Slayer,USA,0
Kick-Ass 2,USA,0
Kick-Ass 2,UK,0
Machete Kills,Russia,0
Machete Kills,USA,0
Mama,Canada,0
Mama,Spain,0
Man of Steel,USA,0
Man of Steel,Canada,0
Man of Steel,UK,0
Nebraska,USA,0
Now You See Me,France,0
Now You See Me,USA,0
Oblivion,USA,0
Olympus Has Fallen,USA,0
Oz the Great and Powerful,USA,0
Pacific Rim,USA,0
Peeples,USA,0
Percy Jackson: Sea of Monsters,USA,0
Prisoners,USA,0
Riddick,USA,0
Riddick,UK,0
Rush,USA,0
Rush,Germany,0
Rush,UK,0
Safe Haven,USA,0
Saving Mr. Banks,USA,0
Saving Mr. Banks,UK,0
Saving Mr. Banks,Australia,0
Side Effects,USA,0
Star Trek Into Darkness,USA,0
Texas Chainsaw 3D,USA,0
The Big Wedding,USA,0
The Book Thief,USA,0
The Book Thief,Germany,0
The Call,USA,0
The Conjuring,USA,0
The Counselor,USA,0
The Counselor,UK,0
The Croods,USA,0
The Fifth Estate,USA,0
The Fifth Estate,Belgium,0
The Great Gatsby,Australia,2
The Great Gatsby,USA,2
The Heat,USA,0
The Hobbit: The Desolation of Smaug,USA,0
The Hobbit: The Desolation of Smaug,New Zealand,0
The Host,USA,0
The Hunger Games: Catching Fire,USA,0
The Incredible Burt Wonderstone,USA,0
The Internship,USA,0
The Last Exorcism Part II,USA,0
The Lone Ranger,USA,0
The Mortal Instruments: City of Bones,USA,0
The Mortal Instruments: City of Bones,Germany,0
The Mortal Instruments: City of Bones,Canada,0
The Purge,USA,0
The Purge,France,0
The Smurfs 2,USA,0
The Way Way Back,USA,0
The Wolf of Wall Street,USA,0
The Wolverine,USA,0
The Wolverine,UK,0
This Is the End,USA,0
Thor: The Dark World,USA,0
Trance,UK,0
Trance,France,0
Turbo,USA,0
Warm Bodies,USA,0
White House Down,USA,0
World War Z,USA,0
World War Z,Malta,0
Abraham Lincoln: Vampire Hunter,USA,0
Act of Valor,USA,0
Amour,France,1
Amour,Germany,1
Amour,Austria,1
Anna Karenina,UK,1
Argo,USA,3
Battleship,USA,0
Beasts of the Southern Wild,USA,0
Brave,USA,1
Bullet to the Head,USA,0
Chernobyl Diaries,USA,0
Chronicle,USA,0
Cloud Atlas,Germany,0
Cloud Atlas,USA,0
Cloud Atlas,Hong Kong,0
Cloud Atlas,Singapore,0
Django Unchained,USA,2
Flight,USA,0
Frankenweenie,USA,0
Hotel Transylvania,USA,0
Jack Reacher,USA,0
John Carter,USA,0
Killing Them Softly,USA,0
Life of Pi,USA,4
Life of Pi,Taiwan,4
Life of Pi,UK,4
Lincoln,USA,2
Mirror Mirror,USA,0
Mirror Mirror,Canada,0
Moonrise Kingdom,USA,0
Much Ado About Nothing,USA,0
One for the Money,USA,0
Paranormal Activity 4,USA,0
ParaNorman,USA,0
Parental Guidance,USA,0
Pitch Perfect,USA,0
Premium Rush,USA,0
Red Dawn,USA,0
Red Tails,USA,0
Rise of the Guardians,USA,0
Rock of Ages,USA,0
Safe,USA,0
Safety Not Guaranteed,USA,0
Seven Psychopaths,UK,0
Silent Hill: Revelation 3D,France,0
Silent Hill: Revelation 3D,USA,0
Silent Hill: Revelation 3D,Canada,0
Silver Linings Playbook,USA,1
Sinister,USA,0
Sinister,UK,0
Skyfall,UK,2
Skyfall,USA,2
Snow White and the Huntsman,USA,0
Sparkle,USA,0
Spring Breakers,USA,0
Ted,USA,0
The Amazing Spider-Man,USA,0
The Avengers,USA,0
The Dark Knight Rises,USA,0
The Dark Knight Rises,UK,0
The Devil Inside,USA,0
The Dictator,USA,0
The Expendables 2,USA,0
The Hobbit: An Unexpected Journey,USA,0
The Hobbit: An Unexpected Journey,New Zealand,0
The Hunger Games,USA,0
The Impossible,Spain,0
The Man with the Iron Fists,USA,0
The Man with the Iron Fists,Hong Kong,0
The Master,USA,0
The Pirates! Band of Misfits,UK,0
The Pirates! Band of Misfits,USA,0
The Place Beyond the Pines,USA,0
The Twilight Saga: Breaking Dawn - Part 2,USA,0
The Vow,USA,0
The Vow,France,0
The Vow,Australia,0
The Vow,UK,0
The Vow,Germany,0
The Watch,USA,0
The Woman in Black,UK,0
The Woman in Black,Canada,0
The Woman in Black,Sweden,0
The Words,USA,0
Think Like a Man,USA,0
Total Recall,USA,0
Total Recall,Canada,0
Underworld: Awakening,USA,0
Wanderlust,USA,0
Wrath of the Titans,USA,0
Wrath of the Titans,Spain,0
Wreck-It Ralph,USA,0
Zero Dark Thirty,USA,1
50/50,USA,0
A Dangerous Method,UK,0
A Dangerous Method,Germany,0
A Dangerous Method,Canada,0
A Dangerous Method,Switzerland,0
Another Earth,USA,0
Apollo 18,USA,0
Apollo 18,Canada,0
Arthur Christmas,UK,0
Arthur Christmas,USA,0
Attack the Block,UK,0
Attack the Block,France,0
Bad Teacher,USA,0
Beastly,USA,0
Blackthorn,Spain,0
Blackthorn,USA,0
Blackthorn,Bolivia,0
Blackthorn,France,0
Bridesmaids,USA,0
Captain America: The First Avenger,USA,0
Cars 2,USA,0
Circumstance,France,0
Circumstance,USA,0
Circumstance,Iran,0
Colombiana,France,0
Conan the Barbarian,USA,0
Contagion,USA,0
Contagion,United Arab Emirates,0
Coriolanus,UK,0
Diary of a Wimpy Kid: Rodrick Rules,USA,0
Dolphin Tale,USA,0
Dream House,USA,0
Dream House,Canada,0
Drive,USA,0
Fast Five,USA,0
Final Destination 5,USA,0
Final Destination 5,Canada,0
Footloose,USA,0
Fright Night,USA,0
Green Lantern,USA,0
Hanna,USA,0
Hanna,UK,0
Hanna,Germany,0
Harry Potter and the Deathly Hallows: Part 2,USA,0
Harry Potter and the Deathly Hallows: Part 2,UK,0
Haywire,USA,0
Haywire,Ireland,0
Higher Ground,USA,0
Hobo with a Shotgun,Canada,0
Hop,USA,0
Horrible Bosses,USA,0
Hugo,USA,5
I Am Number Four,USA,0
Immortals,USA,0
In Time,USA,0
Iris,Finland,0
Iris,Sweden,0
Johnny English Reborn,USA,0
Johnny English Reborn,France,0
Johnny English Reborn,UK,0
Jumping the Broom,USA,0
Just Go with It,USA,0
Kill List,UK,0
Killer Elite,UK,0
Killer Elite,Australia,0
Kung Fu Panda 2,USA,0
Le Havre,Finland,0
Le Havre,France,0
Le Havre,Germany,0
Like Crazy,USA,0
Limitless,USA,0
Margaret,USA,0
Margin Call,USA,0
Mars Needs Moms,USA,0
Martha Marcy May Marlene,USA,0
Melancholia,Denmark,0
Melancholia,Sweden,0
Melancholia,France,0
Melancholia,Germany,0
Midnight in Paris,Spain,1
Midnight in Paris,USA,1
Mission: Impossible - Ghost Protocol,USA,0
Mission: Impossible - Ghost Protocol,United Arab Emirates,0
Mission: Impossible - Ghost Protocol,Czech Republic,0
Moneyball,USA,0
No Strings Attached,USA,0
October Baby,USA,0
Paranormal Activity 3,USA,0
Paul,USA,0
Paul,UK,0
Pirates of the Caribbean: On Stranger Tides,USA,0
Priest,USA,0
Puss in Boots,USA,0
Rango,USA,1
Real Steel,USA,0
Real Steel,India,0
Red Riding Hood,USA,0
Red Riding Hood,Canada,0
Red State,USA,0
Restless,USA,0
Rio,USA,0
Rise of the Planet of the Apes,USA,0
Shame,UK,0
Snow Flower and the Secret Fan,China,0
Snow Flower and the Secret Fan,USA,0
Soul Surfer,USA,0
Source Code,USA,0
Source Code,Canada,0
Straw Dogs,USA,0
Sucker Punch,USA,0
Sucker Punch,Canada,0
Super 8,USA,0
Take Shelter,USA,0
The Adjustment Bureau,USA,0
The Adventures of Tintin,USA,0
The Adventures of Tintin,New Zealand,0
The Artist,France,5
The Artist,Belgium,5
The Artist,USA,5
The Best Exotic Marigold Hotel,UK,0
The Best Exotic Marigold Hotel,USA,0
The Best Exotic Marigold Hotel,United Arab Emirates,0
The Divide,Germany,0
The Divide,USA,0
The Divide,Canada,0
The Future,Germany,0
The Future,USA,0
The Girl with the Dragon Tattoo,USA,1
The Girl with the Dragon Tattoo,Sweden,1
The Girl with the Dragon Tattoo,Norway,1
The Green Hornet,USA,0
The Guard,Ireland,0
The Help,USA,1
The Help,India,1
The Help,United Arab Emirates,1
The Iron Lady,UK,2
The Iron Lady,France,2
The Lincoln Lawyer,USA,0
The Mechanic,USA,0
The Muppets,USA,1
The Rite,USA,0
The Rite,Hungary,0
The Rite,Italy,0
The Roommate,USA,0
The Smurfs,USA,0
The Three Musketeers,Germany,0
The Three Musketeers,France,0
The Three Musketeers,UK,0
The Three Musketeers,USA,0
The Tree of Life,USA,0
The Twilight Saga: Breaking Dawn - Part 1,USA,0
Thor,USA,0
Tinker Tailor Soldier Spy,France,0
Tinker Tailor Soldier Spy,UK,0
Tinker Tailor Soldier Spy,Germany,0
Tower Heist,USA,0
Transformers: Dark of the Moon,USA,0
War Horse,USA,0
Warrior,USA,0
We Bought a Zoo,USA,0
Weekend,UK,0
Winnie the Pooh,USA,0
X-Men: First Class,USA,0
X-Men: First Class,UK,0
Young Adult,USA,0
127 Hours,USA,0
127 Hours,UK,0
Alice in Wonderland,USA,2
Animal Kingdom,Australia,0
Another Year,UK,0
Beginners,USA,1
Biutiful,Mexico,0
Biutiful,Spain,0
Black Swan,USA,1
Blue Valentine,USA,0
Burlesque,USA,0
Casino Jack,Canada,0
Centurion,UK,0
Centurion,France,0
Charlie St. Cloud,USA,0
Charlie St. Cloud,Canada,0
Clash of the Titans,USA,0
Conviction,USA,0
Country Strong,USA,0
Cyrus,USA,0
Date Night,USA,0
Dear John,USA,0
Despicable Me,USA,0
Diary of a Wimpy Kid,USA,0
Dinner for Schmucks,USA,0
Due Date,USA,0
Dylan Dog: Dead of Night,USA,0
Easy A,USA,0
Edge of Darkness,UK,0
Edge of Darkness,USA,0
Fair Game,USA,0
Fair Game,United Arab Emirates,0
Faster,USA,0
For Colored Girls,USA,0
Frozen,USA,0
Green Zone,France,0
Green Zone,USA,0
Green Zone,Spain,0
Green Zone,UK,0
Grown Ups,USA,0
Gunless,Canada,0
Harry Potter and the Deathly Hallows: Part 1,UK,0
Harry Potter and the Deathly Hallows: Part 1,USA,0
Hot Tub Time Machine,USA,0
How to Train Your Dragon,USA,0
Inception,USA,4
Inception,UK,4
Insidious,USA,0
Insidious,Canada,0
Iron Man 2,USA,0
Kick-Ass,UK,0
Kick-Ass,USA,0
Knight and Day,USA,0
Let Me In,UK,0
Let Me In,USA,0
Letters to Juliet,USA,0
Machete,USA,0
Megamind,USA,0
Monsters,UK,0
Morning Glory,USA,0
Never Let Me Go,UK,0
Never Let Me Go,USA,0
Paranormal Activity 2,USA,0
Please Give,USA,0
Predators,USA,0
Prince of Persia: The Sands of Time,USA,0
Rabbit Hole,USA,0
Ramona and Beezus,USA,0
Red,USA,0
Remember Me,USA,0
Repo Men,USA,0
Repo Men,Canada,0
Robin Hood,USA,0
Robin Hood,UK,0
Salt,USA,0
Scott Pilgrim vs. the World,USA,0
Scott Pilgrim vs. the World,UK,0
Scott Pilgrim vs. the World,Canada,0
Scott Pilgrim vs. the World,Japan,0
Secretariat,USA,0
Shrek Forever After,USA,0
Shutter Island,USA,0
Somewhere,USA,0
Somewhere,UK,0
Somewhere,Italy,0
Somewhere,Japan,0
Submarine,UK,0
Submarine,USA,0
Super,USA,0
Takers,USA,0
Tangled,USA,0
The A-Team,USA,0
The Back-up Plan,USA,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,USA,0
The Conspirator,USA,0
The Crazies,USA,0
The Crazies,United Arab Emirates,0
The Debt,USA,0
The Debt,UK,0
The Debt,Hungary,0
The Debt,Israel,0
The Expendables,USA,0
The Fighter,USA,2
The Illusionist,UK,0
The Illusionist,France,0
The Karate Kid,USA,0
The Karate Kid,China,0
The Kids Are All Right,USA,0
The Killer Inside Me,USA,0
The Killer Inside Me,Sweden,0
The Killer Inside Me,UK,0
The Killer Inside Me,Canada,0
The Last Airbender,USA,0
The Last Exorcism,USA,0
The Last Exorcism,France,0
The Losers,USA,0
The Next Three Days,USA,0
The Next Three Days,France,0
The Other Guys,USA,0
The Runaways,USA,0
The Social Network,USA,3
The Spy Next Door,USA,0
The Switch,USA,0
The Tempest,USA,0
The Tourist,USA,0
The Tourist,France,0
The Tourist,Italy,0
The Town,USA,0
The Twilight Saga: Eclipse,USA,0
The Wolfman,USA,1
Tiny Furniture,USA,0
Toy Story 3,USA,2
True Grit,USA,0
Unstoppable,USA,0
Wall Street: Money Never Sleeps,USA,0
Welcome to the Rileys,UK,0
Welcome to the Rileys,USA,0
Yogi Bear,USA,0
Yogi Bear,New Zealand,0
You Again,USA,0
You Will Meet a Tall Dark Stranger,USA,0
You Will Meet a Tall Dark Stranger,Spain,0
(500) Days of Summer,USA,0
17 Again,USA,0
2012,USA,0
9,USA,0
A Perfect Getaway,USA,0
A Serious Man,USA,0
A Serious Man,UK,0
A Serious Man,France,0
A Single Man,USA,0
Adam,USA,0
Adventureland,USA,0
Agora,Spain,0
Ajami,Germany,0
Ajami,Israel,0
All About Steve,USA,0
An Education,UK,0
An Education,USA,0
Astro Boy,Hong Kong,0
Astro Boy,USA,0
Astro Boy,Japan,0
Avatar,USA,3
Avatar,UK,3
Away We Go,USA,0
Away We Go,UK,0
Bride Wars,USA,0
Bright Star,UK,0
Bright Star,Australia,0
Bright Star,France,0
Brothers,USA,0
Capitalism: A Love Story,USA,0
Case 39,USA,0
Case 39,Canada,0
Chloe,USA,0
Chloe,Canada,0
Chloe,France,0
Cloudy with a Chance of Meatballs,USA,0
Coraline,USA,0
Daybreakers,Australia,0
Daybreakers,USA,0
Dead Snow,Norway,0
District 9,USA,0
District 9,New Zealand,0
District 9,Canada,0
District 9,South Africa,0
Drag Me to Hell,USA,0
Enter the Void,France,0
Enter the Void,Germany,0
Enter the Void,Italy,0
Enter the Void,Canada,0
Fantastic Mr. Fox,USA,0
Fired Up!,USA,0
Fish Tank,UK,0
Fish Tank,Netherlands,0
Friday the 13th,USA,0
Funny People,USA,0
G-Force,USA,0
G.I. Joe: The Rise of Cobra,USA,0
G.I. Joe: The Rise of Cobra,Czech Republic,0
Gamer,USA,0
Get Low,USA,0
Get Low,Germany,0
Get Low,Poland,0
Harry Brown,UK,0
Harry Potter and the Half-Blood Prince,UK,0
Harry Potter and the Half-Blood Prince,USA,0
I Love You Phillip Morris,France,0
I Love You Phillip Morris,USA,0
"I Love You, Man",USA,0
Ice Age: Dawn of the Dinosaurs,USA,0
Inglourious Basterds,USA,1
Inglourious Basterds,Germany,1
Invictus,USA,0
Knowing,USA,0
Knowing,UK,0
Knowing,Australia,0
Law Abiding Citizen,USA,0
Life During Wartime,USA,0
Monsters vs Aliens,USA,0
Moon,UK,0
Mother and Child,USA,0
Mother and Child,Spain,0
Nine,USA,0
Nine,Italy,0
Nowhere Boy,UK,0
Nowhere Boy,Canada,0
Ondine,Ireland,0
Ondine,USA,0
Paa,India,0
Planet 51,Spain,0
Planet 51,UK,0
Planet 51,USA,0
Public Enemies,USA,0
Push,USA,0
Push,Canada,0
Sherlock Holmes,USA,0
Sherlock Holmes,Germany,0
Splice,Canada,0
Splice,France,0
Splice,USA,0
Star Trek,USA,1
Star Trek,Germany,1
State of Play,USA,0
State of Play,UK,0
State of Play,France,0
Terminator Salvation,USA,0
Terminator Salvation,Germany,0
Terminator Salvation,UK,0
Terminator Salvation,Italy,0
The Blind Side,USA,1
The Box,USA,0
The City of Your Final Destination,USA,0
The Final Destination,USA,0
The Girl with the Dragon Tattoo,Sweden,0
The Girl with the Dragon Tattoo,Denmark,0
The Girl with the Dragon Tattoo,Germany,0
The Girl with the Dragon Tattoo,Norway,0
The Hangover,USA,0
The Hangover,Germany,0
The Imaginarium of Doctor Parnassus,UK,0
The Imaginarium of Doctor Parnassus,Canada,0
The Imaginarium of Doctor Parnassus,France,0
The Informant!,USA,0
The Invention of Lying,USA,0
The Last Station,Germany,0
The Last Station,Russia,0
The Last Station,UK,0
The Lovely Bones,USA,0
The Lovely Bones,UK,0
The Lovely Bones,New Zealand,0
The Men Who Stare at Goats,USA,0
The Men Who Stare at Goats,UK,0
The Messenger,USA,0
The Princess and the Frog,USA,0
The Proposal,USA,0
The Road,USA,0
The Secret of Kells,France,0
The Secret of Kells,Belgium,0
The Secret of Kells,Ireland,0
The Soloist,UK,0
The Soloist,USA,0
The Soloist,France,0
The Ugly Truth,USA,0
The Unborn,USA,0
The Young Victoria,UK,1
The Young Victoria,USA,1
Transformers: Revenge of the Fallen,USA,0
Up,USA,2
Up in the Air,USA,0
Watchmen,USA,0
Whatever Works,USA,0
Whatever Works,France,0
Where the Wild Things Are,USA,0
Where the Wild Things Are,Australia,0
Where the Wild Things Are,Germany,0
Whip It,USA,0
X-Men Origins: Wolverine,USA,0
Youth in Revolt,USA,0
Zombieland,USA,0
21,USA,0
Appaloosa,USA,0
Australia,Australia,0
Australia,USA,0
Australia,UK,0
Baby Mama,USA,0
Be Kind Rewind,UK,0
Be Kind Rewind,USA,0
Bedtime Stories,USA,0
Blindness,Canada,0
Blindness,Brazil,0
Blindness,Japan,0
Bolt,USA,0
Burn After Reading,USA,0
Burn After Reading,UK,0
Burn After Reading,France,0
Changeling,USA,0
Che: Part One,France,0
Che: Part One,Spain,0
Che: Part One,USA,0
City of Ember,USA,0
Cloverfield,USA,0
Death Race,USA,0
Death Race,Germany,0
Death Race,UK,0
Defiance,USA,0
"Definitely, Maybe",UK,0
"Definitely, Maybe",USA,0
"Definitely, Maybe",France,0
Doubt,USA,0
Eagle Eye,USA,0
Eagle Eye,Germany,0
Easy Virtue,UK,0
Easy Virtue,Canada,0
Forgetting Sarah Marshall,USA,0
Four Christmases,USA,0
Four Christmases,Germany,0
Frost/Nixon,USA,0
Frost/Nixon,UK,0
Frost/Nixon,France,0
Frozen River,USA,0
Ghost Town,USA,0
Gran Torino,USA,0
Gran Torino,Germany,0
Hancock,USA,0
High School Musical 3: Senior Year,USA,0
Igor,USA,0
Igor,France,0
In Bruges,UK,0
In Bruges,USA,0
Indiana Jones and the Kingdom of the Crystal Skull,USA,0
Iron Man,USA,0
Journey to the Center of the Earth,USA,0
Jumper,USA,0
Jumper,Canada,0
Kung Fu Panda,USA,0
Made of Honor,USA,0
Made of Honor,UK,0
Max Payne,Canada,0
Max Payne,USA,0
Meet Dave,USA,0
Milk,USA,2
Miracle at St. Anna,USA,0
Miracle at St. Anna,Italy,0
Pineapple Express,USA,0
Pontypool,Canada,0
Prom Night,USA,0
Prom Night,Canada,0
Quantum of Solace,UK,0
Quantum of Solace,USA,0
Quarantine,USA,0
Rachel Getting Married,USA,0
Revolutionary Road,USA,0
Revolutionary Road,UK,0
RocknRolla,UK,0
RocknRolla,USA,0
Seven Pounds,USA,0
Sex and the City,USA,0
Slumdog Millionaire,UK,8
Speed Racer,USA,0
Speed Racer,Australia,0
Speed Racer,Germany,0
Step Brothers,USA,0
Sunshine Cleaning,USA,0
"Synecdoche, New York",USA,0
Taken,France,0
Taken,USA,0
Taken,UK,0
The Bank Job,UK,0
